plot.no,samp.date,plant.no,samp.type,no.aphids
109,44026,1,random,30
109,44026,2,random,0
109,44026,3,random,30
109,44026,4,random,3
109,44026,5,random,0
110,44026,1,random,0
110,44026,2,random,0
110,44026,3,random,0
110,44026,4,random,0
110,44026,5,random,1
711,44026,1,random,0
711,44026,2,random,0
711,44026,3,random,0
711,44026,4,random,0
711,44026,5,random,0
610,44026,1,random,1
610,44026,2,random,0
610,44026,3,random,0
610,44026,4,random,0
610,44026,5,random,0
710,44026,1,random,1
710,44026,2,random,1
710,44026,3,random,15
710,44026,4,random,0
710,44026,5,random,4
604,44026,1,random,0
604,44026,2,random,0
604,44026,3,random,0
604,44026,4,random,1
604,44026,5,random,0
1109,44026,1,random,0
1109,44026,2,random,0
1109,44026,3,random,0
1109,44026,4,random,0
1109,44026,5,random,0
1106,44026,1,random,0
1106,44026,2,random,0
1106,44026,3,random,0
1106,44026,4,random,0
1106,44026,5,random,0
109,44029,1,random,0
109,44029,2,random,0
109,44029,3,random,1
109,44029,4,random,0
109,44029,5,random,2
110,44029,1,random,2
110,44029,2,random,0
110,44029,3,random,1
110,44029,4,random,1
110,44029,5,random,0
1109,44029,1,random,1
1109,44029,2,random,0
1109,44029,3,random,0
1109,44029,4,random,0
1109,44029,5,random,0
1106,44029,1,random,0
1106,44029,2,random,0
1106,44029,3,random,0
1106,44029,4,random,5
1106,44029,5,random,0
711,44029,1,random,0
711,44029,2,random,0
711,44029,3,random,0
711,44029,4,random,4
711,44029,5,random,1
610,44029,1,random,0
610,44029,2,random,0
610,44029,3,random,0
610,44029,4,random,9
610,44029,5,random,0
710,44029,1,random,0
710,44029,2,random,0
710,44029,3,random,0
710,44029,4,random,0
710,44029,5,random,0
604,44029,1,random,1
604,44029,2,random,3
604,44029,3,random,0
604,44029,4,random,0
604,44029,5,random,13
109,44032,1,random,0
109,44032,2,random,0
109,44032,3,random,0
109,44032,4,random,30
109,44032,5,random,11
110,44032,1,random,0
110,44032,2,random,0
110,44032,3,random,0
110,44032,4,random,4
110,44032,5,random,8
711,44032,1,random,0
711,44032,2,random,0
711,44032,3,random,0
711,44032,4,random,13
711,44032,5,random,0
710,44032,1,random,0
710,44032,2,random,0
710,44032,3,random,0
710,44032,4,random,0
710,44032,5,random,0
610,44032,1,random,0
610,44032,2,random,0
610,44032,3,random,10
610,44032,4,random,0
610,44032,5,random,0
604,44032,1,random,2
604,44032,2,random,0
604,44032,3,random,0
604,44032,4,random,1
604,44032,5,random,0
1106,44032,1,random,0
1106,44032,2,random,0
1106,44032,3,random,0
1106,44032,4,random,0
1106,44032,5,random,0
1109,44032,1,random,0
1109,44032,2,random,0
1109,44032,3,random,0
1109,44032,4,random,0
1109,44032,5,random,0
109,44035,1,random,0
109,44035,2,random,0
109,44035,3,random,4
109,44035,4,random,0
109,44035,5,random,0
109,44035,1,flagged,1
109,44035,2,flagged,1
109,44035,3,flagged,0
109,44035,4,flagged,8
109,44035,5,flagged,0
110,44035,1,random,5
110,44035,2,random,0
110,44035,3,random,0
110,44035,4,random,2
110,44035,5,random,16
110,44035,1,flagged,0
110,44035,2,flagged,0
110,44035,3,flagged,0
110,44035,4,flagged,1
110,44035,5,flagged,1
711,44035,1,random,0
711,44035,2,random,1
711,44035,3,random,0
711,44035,4,random,0
711,44035,5,random,1
711,44035,1,flagged,0
711,44035,2,flagged,0
711,44035,3,flagged,9
711,44035,4,flagged,15
711,44035,5,flagged,0
710,44035,1,random,0
710,44035,2,random,0
710,44035,3,random,7
710,44035,4,random,0
710,44035,5,random,0
710,44035,1,flagged,0
710,44035,2,flagged,0
710,44035,3,flagged,0
710,44035,4,flagged,0
710,44035,5,flagged,0
610,44035,1,random,0
610,44035,2,random,29
610,44035,3,random,13
610,44035,4,random,0
610,44035,5,random,0
610,44035,1,flagged,0
610,44035,2,flagged,0
610,44035,3,flagged,0
610,44035,4,flagged,5
610,44035,5,flagged,0
604,44035,1,random,0
604,44035,2,random,0
604,44035,3,random,0
604,44035,4,random,1
604,44035,5,random,0
604,44035,1,flagged,0
604,44035,2,flagged,0
604,44035,3,flagged,0
604,44035,4,flagged,1
604,44035,5,flagged,2
1106,44035,1,random,1
1106,44035,2,random,0
1106,44035,3,random,0
1106,44035,4,random,0
1106,44035,5,random,0
1106,44035,1,flagged,0
1106,44035,2,flagged,0
1106,44035,3,flagged,0
1106,44035,4,flagged,0
1106,44035,5,flagged,0
1109,44035,1,random,0
1109,44035,2,random,0
1109,44035,3,random,0
1109,44035,4,random,0
1109,44035,5,random,0
1109,44035,1,flagged,0
1109,44035,2,flagged,0
1109,44035,3,flagged,0
1109,44035,4,flagged,0
1109,44035,5,flagged,0
109,44038,1,flagged,3
109,44038,2,flagged,1
109,44038,3,flagged,0
109,44038,4,flagged,31
109,44038,5,flagged,0
109,44038,1,random,4
109,44038,2,random,0
109,44038,3,random,0
109,44038,4,random,5
109,44038,5,random,1
110,44038,1,flagged,1
110,44038,2,flagged,3
110,44038,3,flagged,0
110,44038,4,flagged,0
110,44038,5,flagged,0
110,44038,1,random,19
110,44038,2,random,0
110,44038,3,random,0
110,44038,4,random,8
110,44038,5,random,0
711,44038,1,flagged,0
711,44038,2,flagged,0
711,44038,3,flagged,5
711,44038,4,flagged,3
711,44038,5,flagged,0
711,44038,1,random,0
711,44038,2,random,0
711,44038,3,random,0
711,44038,4,random,0
711,44038,5,random,0
610,44038,1,flagged,0
610,44038,2,flagged,0
610,44038,3,flagged,0
610,44038,4,flagged,2
610,44038,5,flagged,0
610,44038,1,random,0
610,44038,2,random,16
610,44038,3,random,0
610,44038,4,random,18
610,44038,5,random,0
710,44038,1,flagged,0
710,44038,2,flagged,0
710,44038,3,flagged,0
710,44038,4,flagged,0
710,44038,5,flagged,0
710,44038,1,random,0
710,44038,2,random,6
710,44038,3,random,0
710,44038,4,random,0
710,44038,5,random,0
604,44038,1,flagged,0
604,44038,2,flagged,0
604,44038,3,flagged,0
604,44038,4,flagged,1
604,44038,5,flagged,3
604,44038,1,random,1
604,44038,2,random,11
604,44038,3,random,0
604,44038,4,random,0
604,44038,5,random,4
1106,44038,1,flagged,0
