Time,Site,Year,Plant_common_name,Plant_Sub,Species,Count
PM,Tudek,2018,Acanacia,Other,Griseocollis,12
AM,Tudek,2019,Catmint,Other,Griseocollis,0
PM,Tudek,2019,Catmint,Other,Griseocollis,0
AM,Arboretum,2018,Catmint,Other,Griseocollis,4
AM,Tudek,2018,Catmint,Other,Griseocollis,1
AM,Bernel,2019,Creeping thistle,Other,Griseocollis,2
PM,Bernel,2019,Creeping thistle,Other,Griseocollis,0
AM,Alex's house,2019,Creeping thistle,Other,Griseocollis,0
PM,Alex's house,2019,Creeping thistle,Other,Griseocollis,0
AM,Bernel,2018,Creeping thistle,Other,Griseocollis,1
AM,Bernel,2019,Crown vetch,Other,Griseocollis,2
PM,Bernel,2019,Crown Vetch,Other,Griseocollis,1
AM,Bernel,2018,Crown vetch,Other,Griseocollis,3
AM,Arboretum,2019,Hydrangea arborescens,Other,Griseocollis,1
PM,Arboretum,2019,Hydrangea arborescens,Other,Griseocollis,1
AM,Arboretum,2018,Marsh woundwort,Other,Griseocollis,0
PM,Arboretum,2018,May night sage,Other,Griseocollis,5
AM,Bernel,2019,Meadowsweet (Spiraea),Other,Griseocollis,4
PM,Bernel,2019,Meadowsweet (Spiraea),Other,Griseocollis,0
AM,Bernel,2018,Meadowsweet (Spiraea),Other,Griseocollis,5
PM,Bernel,2018,Meadowsweet (Spiraea),Other,Griseocollis,0
AM,Tudek,2019,Milkweed,Milkweed,Griseocollis,19
PM,Tudek,2019,Milkweed,Milkweed,Griseocollis,15
AM,Arboretum,2019,Milkweed,Milkweed,Griseocollis,15
PM,Arboretum,2019,Milkweed,Milkweed,Griseocollis,18
AM,Bernel,2019,Milkweed,Milkweed,Griseocollis,10
PM,Bernel,2019,Milkweed,Milkweed,Griseocollis,0
AM,Alex's house,2019,Milkweed,Milkweed,Griseocollis,11
PM,Alex's house,2019,Milkweed,Milkweed,Griseocollis,6
AM,Arboretum,2018,Milkweed,Milkweed,Griseocollis,11
PM,Arboretum,2018,Milkweed,Milkweed,Griseocollis,10
AM,Tudek,2018,Milkweed,Milkweed,Griseocollis,9
PM,Tudek,2018,Milkweed,Milkweed,Griseocollis,21
AM,Bernel,2018,Milkweed,Milkweed,Griseocollis,14
PM,Bernel,2018,Milkweed,Milkweed,Griseocollis,14
AM,Alex's house,2019,Mint,Other,Griseocollis,0
PM,Alex's house,2019,Mint,Other,Griseocollis,0
AM,Tudek,2019,Monarda didyma,Other,Griseocollis,0
PM,Tudek,2019,Monarda didyma,Other,Griseocollis,2
PM,Tudek,2018,Monarda didyma,Other,Griseocollis,0
PM,Tudek,2018,Monarda fistulosa,Other,Griseocollis,1
AM,Arboretum,2019,Nepeta facemosa,Other,Griseocollis,0
PM,Arboretum,2019,Nepeta facemosa,Other,Griseocollis,0
AM,Arboretum,2018,Penstemon,Other,Griseocollis,0
AM,Tudek,2018,Penstemon,Other,Griseocollis,0
AM,Tudek,2018,Pink monarda,Other,Griseocollis,0
PM,Bernel,2018,Red clover,Other,Griseocollis,0
PM,Arboretum,2018,Southern bush honeysuckle,Other,Griseocollis,1
AM,Arboretum,2019,Sumac,Other,Griseocollis,7
PM,Arboretum,2019,Sumac,Other,Griseocollis,0
AM,Tudek,2019,Thistle,Other,Griseocollis,1
PM,Tudek,2019,Thistle,Other,Griseocollis,5
PM,Bernel,2018,Thistle,Other,Griseocollis,3
AM,Alex's house,2019,White clover,Other,Griseocollis,0
PM,Alex's house,2019,White clover,Other,Griseocollis,0
PM,Arboretum,2018,Yellow wild indigo,Other,Griseocollis,7
PM,Tudek,2018,Acanacia,Other,Bimaculatus,3
AM,Tudek,2019,Catmint,Other,Bimaculatus,11
PM,Tudek,2019,Catmint,Other,Bimaculatus,0
AM,Arboretum,2018,Catmint,Other,Bimaculatus,3
AM,Tudek,2018,Catmint,Other,Bimaculatus,20
AM,Bernel,2019,Creeping thistle,Other,Bimaculatus,0
PM,Bernel,2019,Creeping thistle,Other,Bimaculatus,0
AM,Alex's house,2019,Creeping thistle,Other,Bimaculatus,3
PM,Alex's house,2019,Creeping thistle,Other,Bimaculatus,1
AM,Bernel,2018,Creeping thistle,Other,Bimaculatus,0
AM,Bernel,2019,Crown vetch,Other,Bimaculatus,2
PM,Bernel,2019,Crown Vetch,Other,Bimaculatus,0
